country_iso3,merchandise_of_gdp,area,population,industry_of_gdp,continent,agriculture_forestry_fishing_of_gdp,life_expectancy,landlocked,colonizer,net_barter_of_trade,inflation_rate,langoff_1,gni_atlas,foreign_direct_investment_inflows,happiness,gdp_us_dollar,gdp_growth,gdp_per_capita
TTO,96.1545591683343,5130,1336180,57.0510122828478,America,0.456542570355529,72.17,0,NONE,139.9827214,5.10713289264559,English,20001165158.6202,41047454.4570203,0.907,25433011405.0,-0.294354409,19034.1207062684
TUN,91.2430219468401,164150,10741872,29.8067053069984,Africa,8.53467551114708,75.206,0,FRA,112.7946423,3.24002842009523,Arabic,42814525247.0772,432666011.578487,0.571,45810626509.0,-1.91717768,4264.6781221604
TUR,44.7980072656482,780576,73443254,26.8375169369019,Europe,8.17395626522538,74.944,0,NONE,89.02036285,6.47187967115097,Turkish,830733731579.224,16182000000.0,0.707,838785707000.0,11.20011058,11420.5554558378
TZA,44.821933449125,945090,45673520,26.3820840879288,Africa,24.9768644464588,59.525,0,DEU,153.9072005,12.6909694699163,English,33932106024.1436,1229361018.44368,0.708,34657139495.0,7.672155435,781.433895673281
UGA,28.0700015655905,241038,33476772,25.6551974840714,Africa,28.821123716599,58.087,1,GBR,121.3141492,15.1251539449716,English,28599612729.0697,894293858.0,0.71,27752712167.0,9.391655493,828.994112767086
UKR,92.5804755879079,603677,45706086,25.1092507563514,Europe,8.19659520719759,70.8092682926829,0,NONE,106.5521884,7.95572466274646,Ukrainian,142158543702.416,7207000000.0,0.47,163159671670.0,5.465501846,3569.75812083898
URY,38.8595748476717,176215,3368926,22.7051202488207,America,8.82916199388321,76.882,0,NONE,104.9166011,8.09283206302989,Spanish,40636375992.9768,2690094196.66277,0.75,47962439303.0,5.162133022,14236.7149957359
USA,24.1178217113198,9529106,311583481,19.4169009561953,America,1.21648753662505,78.6414634146341,0,USA,94.59459459,3.15684156862206,English,15760432948941.8,263497000000.0,0.877,15542581104000.0,1.550835504,49882.5581321495
UZB,41.9808233766003,447400,29339400,21.0597346344211,Asia,31.6232422641087,69.91,1,NONE,189.1797913,12.4,Uzbek,49139600378.1472,1615052149.82,0.786,56516280748.0,7.784905864,1926.29299673401
VNM,150.255897592702,331114,88871384,32.2444134279177,Asia,19.5677511259479,74.904,0,FRA,126.2725419,18.6777322770706,Vietnamese,122032835939.376,7430000000.0,0.637,135539438560.0,6.240302749,1525.11902548642
YEM,64.0461186569839,547244,23807586,46.4660961670498,Asia,8.53316922274811,65.768,0,NONE,171.4306854,19.5435617131149,Arabic,25694375954.1752,-517842928.476896,0.551,32726417212.0,-12.71482302,1374.62140060517
ZAF,56.0121104106237,1219912,52003759,26.9425399457188,Africa,2.2854725377128,58.895,0,GBR,146.2948344,5.01715773281268,English,363409170946.957,4139289122.68737,0.741,416418874936.0,3.284168142,8007.47643908404
ZMB,68.9656193231028,752614,14023199,34.4442819243584,Africa,9.64805782176724,57.126,1,GBR,197.4470404,6.42939681072336,English,19888203808.9244,1108500000.0,0.792,23459515276.0,5.564602337,1672.90753526193
ZWE,81.5208124527551,390759,12894323,21.720292235661,Africa,8.6658651729864,52.896,1,GBR,111.413525,3.46612972817,English,11891878067.9707,344300000.0,0.728,14101920300.0,14.19391296,1093.65340855817
